Timestamp,FD_ID,IP_Address,Latency,Packet_Loss,Throughput,Status
2024-12-09 13:39:15,0,192.168.1.11,180.02848625183105,0.0,N/A,Good
2024-12-09 13:39:15,15,192.168.1.10,249.1447925567627,0.0,N/A,Acceptable
2024-12-09 13:39:16,1,192.168.1.11,138.36922645568848,0.0,N/A,Good
2024-12-09 13:39:16,2,192.168.1.11,138.77158164978027,0.0,N/A,Good
2024-12-09 13:39:17,16,192.168.1.10,249.06458854675293,0.0,N/A,Acceptable
2024-12-09 13:39:17,3,192.168.1.11,139.06450271606445,0.0,N/A,Good
2024-12-09 13:39:18,4,192.168.1.11,138.64102363586426,0.0,N/A,Good
2024-12-09 13:39:18,17,192.168.1.10,248.6281394958496,0.0,N/A,Acceptable
2024-12-09 13:39:19,5,192.168.1.11,138.69571685791016,0.0,N/A,Good
2024-12-09 13:39:19,18,192.168.1.10,249.65267181396484,0.0,N/A,Acceptable
2024-12-09 13:39:19,6,192.168.1.11,138.48567008972168,0.0,N/A,Good
2024-12-09 13:39:20,30,192.168.1.12,874.9823570251465,20.0,N/A,Poor
2024-12-09 13:39:20,7,192.168.1.11,138.360595703125,0.0,N/A,Good
2024-12-09 13:39:20,19,192.168.1.10,248.49605560302734,0.0,N/A,Acceptable
2024-12-09 13:39:21,8,192.168.1.11,138.62175941467285,0.0,N/A,Good
2024-12-09 13:39:21,9,192.168.1.11,139.01476860046387,0.0,N/A,Good
2024-12-09 13:39:22,20,192.168.1.10,249.53136444091797,0.0,N/A,Acceptable
2024-12-09 13:39:22,10,192.168.1.11,138.42153549194336,0.0,N/A,Good
2024-12-09 13:39:23,11,192.168.1.11,138.90914916992188,0.0,N/A,Good
2024-12-09 13:39:24,12,192.168.1.11,138.32941055297852,0.0,N/A,Good
2024-12-09 13:39:24,31,192.168.1.12,875.322437286377,0.0,N/A,Poor
2024-12-09 13:39:24,45,192.168.5.23,N/A,100.0,N/A,Unavailable
2024-12-09 13:39:24,13,192.168.1.11,138.9312744140625,0.0,N/A,Good
2024-12-09 13:39:25,21,192.168.1.10,249.39972162246704,20.0,N/A,Acceptable
2024-12-09 13:39:25,14,192.168.1.11,139.79558944702148,0.0,N/A,Good
2024-12-09 13:39:26,22,192.168.1.10,249.35307502746582,0.0,N/A,Acceptable
2024-12-09 13:39:28,32,192.168.1.12,875.8803844451904,0.0,N/A,Poor
2024-12-09 13:39:29,23,192.168.1.10,249.23264980316162,20.0,N/A,Acceptable
2024-12-09 13:39:32,24,192.168.1.10,249.52024221420288,20.0,N/A,Acceptable
2024-12-09 13:39:33,25,192.168.1.10,249.77879524230957,0.0,N/A,Acceptable
2024-12-09 13:39:34,33,192.168.1.12,875.4839897155762,20.0,N/A,Poor
2024-12-09 13:39:34,46,192.168.5.23,N/A,100.0,N/A,Unavailable
2024-12-09 13:39:35,26,192.168.1.10,249.25537109375,0.0,N/A,Acceptable
2024-12-09 13:39:36,0,192.168.1.11,138.57412338256836,0.0,N/A,Good
2024-12-09 13:39:36,1,192.168.1.11,138.72408866882324,0.0,N/A,Good
2024-12-09 13:39:37,2,192.168.1.11,138.5903835296631,0.0,N/A,Good
2024-12-09 13:39:38,27,192.168.1.10,249.04435873031616,20.0,N/A,Acceptable
2024-12-09 13:39:38,3,192.168.1.11,138.30742835998535,0.0,N/A,Good
2024-12-09 13:39:39,4,192.168.1.11,138.65585327148438,0.0,N/A,Good
2024-12-09 13:39:39,28,192.168.1.10,249.10812377929688,0.0,N/A,Acceptable
2024-12-09 13:39:39,5,192.168.1.11,138.76094818115234,0.0,N/A,Good
2024-12-09 13:39:40,6,192.168.1.11,139.69311714172363,0.0,N/A,Good
2024-12-09 13:39:41,7,192.168.1.11,139.63465690612793,0.0,N/A,Good
2024-12-09 13:39:41,34,192.168.1.12,874.9491373697916,40.0,N/A,Poor
2024-12-09 13:39:41,8,192.168.1.11,138.73372077941895,0.0,N/A,Good
2024-12-09 13:39:42,29,192.168.1.10,248.7778663635254,20.0,N/A,Acceptable
2024-12-09 13:39:42,9,192.168.1.11,138.4911060333252,0.0,N/A,Good
2024-12-09 13:39:43,10,192.168.1.11,138.62032890319824,0.0,N/A,Good
2024-12-09 13:39:43,11,192.168.1.11,139.54405784606934,0.0,N/A,Good
2024-12-09 13:39:44,12,192.168.1.11,138.66372108459473,0.0,N/A,Good
2024-12-09 13:39:44,47,192.168.5.23,N/A,100.0,N/A,Unavailable
2024-12-09 13:39:45,13,192.168.1.11,139.2590045928955,0.0,N/A,Good
2024-12-09 13:39:46,14,192.168.1.11,139.12243843078613,0.0,N/A,Good
2024-12-09 13:39:48,35,192.168.1.12,875.5764961242676,60.0,N/A,Poor
2024-12-09 13:39:53,36,192.168.1.12,875.3739356994629,0.0,N/A,Poor
